recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e,Mass_calc,Mass_e,Age_calc (Myr),Age_e (Myr)
1074,203074940,16 26 25.39,-27 20 42.7,,11.18,,6.42,0.39,11.13,6.03,3.3496,,,,"USco,bronze",no,Simbad,1,0.999983,17.55,10.144135238465816,3415.2,1.4586,-1.5491352948697448,0.581,0.021,0.2477142857142856,0.0138669828032174,0.143203053673954,0.0090837562918068,0.3043,0.0713,30.893,19.6
1077,203354381,16 26 27.86,-26 25 15.1,,9.85,,5.66,0.62,9.77,5.03,0.5993,,,,"USco,bronze",no,Simbad,1,0.997667,15.43,8.487469238465815,3520.1,0.7924,,,,,0.0138669828032174,0.3649454934151915,0.0090837562918068,,,,
1084,205114690,16 26 35.43,-19 19 53.3,,9.26,,4.03,0.7,9.17,3.33,,,,,"USco,bronze",no,Simbad,1,0.999996,13.200001,7.041153238465816,,,,,,,0.0138669828032174,0.6898396699439056,0.0090837562918068,,,,
1085,204223197,16 26 36.61,-23 10 57.0,,9.21,,5.17,0.43,9.16,4.74,9.6885,,,,"USco,bronze",no,Simbad,1,0.999762,14.33,7.752552238465816,4900.9,2.4937,-0.824546158623733,0.501,0.093,0.8756282722513088,0.0138669828032174,0.5121294794968947,0.0090837562918068,0.7574,0.0242,109.94,39.456
1088,204525799,16 26 38.63,-21 58 51.8,,10.73,,6.24,0.93,10.61,5.3,2.0115,,,,"USco,bronze",no,Simbad,1,0.999962,16.849998,9.592664238465815,3413.1,1.3156,-1.512154867892628,0.601,0.021,0.2467142857142856,0.0138669828032174,0.1963428031582152,0.0090837562918068,0.3053,0.0719,27.158,16.913
1089,204377821,16 26 39.65,-22 34 20.3,,10.49,,6.94,1.36,10.31,5.57,1.3506,,,,"USco,bronze",no,Simbad,1,0.999999,17.25,9.728967238465817,,,,,,,0.0138669828032174,0.180862063973748,0.0090837562918068,,,,
1090,204840715,16 26 40.57,-20 37 28.6,,9.14,,4.13,0.7,9.05,3.43,,,,,"USco,bronze",no,Simbad,1,0.999996,13.18,7.001303238465816,,,,,,,0.0138669828032174,0.7003964317690506,0.0090837562918068,,,,
1094,203138121,16 26 42.88,-27 07 42.0,,11.2,,6.43,0.94,11.08,5.49,0.8274,,,,"USco,bronze",no,Simbad,1,0.999963,17.51,10.163886238465816,,,-1.5630426824391672,0.564,0.021,,0.0138669828032174,0.1416826483002182,0.0090837562918068,,,,
1099,203826403,16 26 44.41,-24 47 14.0,,10.64,,6.64,1.52,10.44,5.12,3.979,,,,"USco,bronze",no,Simbad,1,0.999999,17.08,9.920206238465816,3489.2,1.753,-1.5728386027275143,0.604,0.021,0.2829523809523808,0.0138669828032174,0.1619467993666087,0.0090837562918068,0.3487,0.0685,48.741,31.087
1108,203006330,16 26 54.08,-27 35 08.0,,10.68,,5.26,1.57,10.48,3.69,1.0821,,,,"USco,bronze",no,Simbad,1,0.992964,15.74,8.962627238465815,3417.0,0.6531,-1.4061603244093963,0.598,0.02,0.2485714285714285,0.0138669828032174,0.2850148780039525,0.0090837562918068,0.316,0.0743,19.965,11.93
